date,received,sent,allDayReceived,allDaySent
 2016-1-1,160,220,0-0-0-0-0-0-0-0-0-0-6-0-2-28-16-0-0-2-2-0-34-14-0,0-0-0-0-0-0-0-0-0-0-14-0-0-48-10-0-0-0-2-0-40-30-0
 2016-1-2,114,148,20-0-0-0-0-0-0-0-0-0-0-0-0-4-18-22-10-0-2-0-32-6-0,28-0-0-0-0-0-0-0-0-0-0-0-0-14-16-34-14-0-0-0-36-6-0
 2016-1-3,106,98,0-0-0-0-0-0-0-0-0-0-10-4-0-50-4-6-2-0-0-0-6-14-0,0-0-0-0-0-0-0-0-0-0-10-0-4-36-0-8-12-0-2-0-6-14-0
 2016-1-4,338,352,0-0-0-0-0-0-0-0-0-0-0-14-110-6-74-36-0-0-0-0-40-2-0,0-0-0-0-0-0-0-0-0-0-0-6-92-6-84-36-0-0-0-0-48-4-0
 2016-1-5,150,170,0-0-0-0-0-0-0-0-6-0-4-0-0-0-62-0-0-2-0-6-16-0-0,0-0-0-0-0-0-0-0-0-4-0-0-0-8-44-0-2-0-0-2-30-8-0
 2016-1-6,92,78,0-0-0-0-0-0-0-0-0-0-0-0-28-0-2-8-6-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-18-6-0-12-6-0-0-0-0-0-0
 2016-1-7,12,14,0-0-0-0-0-0-0-0-0-0-0-0-6-0-2-0-0-0-0-4-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0-0-0-4-0-0-0
 2016-1-8,0,0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-1-9,16,12,0-0-0-0-0-0-0-0-2-0-8-0-0-0-0-0-4-2-0-0-0-0-0,0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-4-6-0-0-0-0-0
 2016-1-10,176,192,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-16-4-0-0-8-78-36-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-16-0-0-0-14-82-60-0
 2016-1-11,258,248,2-0-0-0-0-0-0-0-0-0-0-2-0-48-34-12-20-0-0-72-62-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-50-38-2-10-2-0-76-62-0-0
 2016-1-12,0,0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0
